"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","172","Admin Login","Default Suite","Thu May 22 05:31:28 PDT 2025","passed","Thu May 22 05:31:29 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","adminLogin"
"","308","Edit item name","Default Suite","Thu May 22 05:31:37 PDT 2025","passed","Thu May 22 05:31:37 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","editItemName"
"","119","Login any user with incorrect email or password","Default Suite","Thu May 22 05:31:36 PDT 2025","passed","Thu May 22 05:31:37 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","loginAnyUserWithWrongCredentials"
"","4345","User List","Default Suite","Thu May 22 05:31:29 PDT 2025","passed","Thu May 22 05:31:33 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","userList"
"","5979","User Registration","Default Suite","Thu May 22 05:31:21 PDT 2025","passed","Thu May 22 05:31:27 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","userRegistration"
"","300","Delete item","Default Suite","Thu May 22 05:31:37 PDT 2025","passed","Thu May 22 05:31:37 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","deleteItem"
"","358","Search user by invalid user id","Default Suite","Thu May 22 05:31:34 PDT 2025","passed","Thu May 22 05:31:35 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","searchUserWithInvalidId"
"","213","Add item","Default Suite","Thu May 22 05:31:37 PDT 2025","passed","Thu May 22 05:31:37 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","addItem"
"","827","Search user by user id","Default Suite","Thu May 22 05:31:33 PDT 2025","passed","Thu May 22 05:31:34 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","searchUser"
"","689","User Registration with duplicate info","Default Suite","Thu May 22 05:31:28 PDT 2025","passed","Thu May 22 05:31:28 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","userRegistrationWithDuplicateInfo"
"","73","Delete an item that doesn't exist","Default Suite","Thu May 22 05:31:37 PDT 2025","passed","Thu May 22 05:31:38 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","deleteItemNotExist"
"","699","Edit user info","Default Suite","Thu May 22 05:31:35 PDT 2025","passed","Thu May 22 05:31:35 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","editUserInfo"
"","944","Login any user","Default Suite","Thu May 22 05:31:35 PDT 2025","passed","Thu May 22 05:31:36 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","loginAnyUser"
"","131","Item list","Default Suite","Thu May 22 05:31:37 PDT 2025","passed","Thu May 22 05:31:37 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","itemList"
"","103","Admin Login with incorrect email or password","Default Suite","Thu May 22 05:31:29 PDT 2025","passed","Thu May 22 05:31:29 PDT 2025","testrunner.TestRunner","Assignment_On_Rest_Assured","testrunner.TestRunner","adminLoginWithWrongCredentials"
